ID;jvitor.silva;v.tassinari;nf.figueiredo;lg.santos;g.brandao;m.bezerra
Smcmcr;09/10/2015;;;21/10/2016;;
Smcmcr2;09/10/2015;;;21/07/2016;;
smcMntr;28/04/2016;;;26/02/2018;;
smcMonitor;28/04/2016;;03/08/2018;01/08/2018;;
SmcUteis;06/02/2019;26/10/2018;29/08/2019;16/04/2019;25/06/2019;04/07/2019
smcweb;23/03/2018;;20/07/2018;16/01/2019;;
smcweblc;;;;09/06/2015;;
SPC;15/03/2019;25/02/2019;29/08/2019;27/08/2018;;21/08/2019
SpcCI;14/03/2019;;20/08/2019;03/10/2017;;21/08/2019
SPCOAuth;;;;10/04/2018;;
SPCRcr;09/10/2015;25/07/2016;;27/07/2016;;
SpcRcrNew;;;12/06/2018;08/02/2017;;
SPCWS;;;;08/05/2017;;
sufwb;14/12/2015;;02/05/2019;30/09/2016;;
tabview;;;;20/06/2016;;
Template;30/11/2015;26/07/2016;;;;
Totvs;;;;10/08/2016;;
TotvsOauth;;;29/08/2019;10/09/2019;;
TotvsWS;25/07/2017;21/06/2019;29/08/2019;;;
TotvsWS-hml;;;;10/09/2019;;
trasnferencia;;;;12/08/2015;;
Umovinterface;11/05/2016;;;;;
UpdateCli;10/04/2017;;;;;
UpdateCliente;12/04/2017;;;26/02/2018;;
upload;;;;06/02/2015;;
VisualizadorBanco;18/01/2018;18/04/2018;12/09/2018;;;
vale-dinheiro;;28/08/2019;;11/07/2019;15/08/2019;
Vos;14/03/2019;21/06/2019;29/08/2019;16/04/2019;;21/08/2019
web;09/10/2015;;;26/02/2018;;
WebSmc;10/03/2017;21/08/2016;19/08/2018;18/10/2017;04/09/2019;22/08/2019
WebUtil;28/04/2016;;;;;
WNMessageWS;20/11/2018;;;;;
WS;;;;04/05/2017;;
WsCliEvol;29/06/2016;13/08/2018;29/08/2019;28/08/2017;;
ZenCardWS;11/01/2019;04/09/2018;02/05/2019;09/09/2019;;
